HF_name,subset,task_by_convention,format,comment,seed_paper,do_train,do_eval,train_size,adjusted_train_size,metric,multiple correct answer,Paper link,non_linguistic_knowledge,Imported Task Name,imported category,input_length,_human_skill,Domain,Reference,done
paws,labeled_final,paraphrase,cls,,,BASE,,49401,49401,,,,,paws,cls/paraphrase,,,,Zhang et al. 2019,TRUE
ai2_arc,ARC-Challenge,QA_closed_book,cls,,GPT,GPT_EVAL,,1119,0,"accuracy_with_tie : For each question, a system receives 1 point if it
chooses the correct answer and 1/k if it reports a k-way tie
(i.e., chooses multiple answers) that includes the correct answer.",,https://arxiv.org/pdf/1803.05457.pdf,mid-intensive,ARC (chal.),qa/multiple-choice qa,,nontrivial_comprehension,,Clark et al. 2018,TRUE
ai2_arc,ARC-Easy,QA_closed_book,cls,,GPT,GPT_EVAL,,2251,0,"accuracy_with_tie: For each question, a system receives 1 point if it
chooses the correct answer and 1/k if it reports a k-way tie
(i.e., chooses multiple answers) that includes the correct answer.",,https://arxiv.org/pdf/1803.05457.pdf,mid-intensive,ARC (easy),Multiple choice,,,,,TRUE
nq_open,,QA_closed_book,gen,,GPT,,TRUE,87925,0,kilt-exact_match;average_accuracy_accross_answers,TRUE,https://direct.mit.edu/tacl/article/doi/10.1162/tacl_a_00276/43518/Natural-Questions-A-Benchmark-for-Question,intensive,Natural Questions (open domain),,,trivia,,,
kilt_tasks,hotpotqa,QA_closed_book,gen,recast as closed-book due to input length,self,BASE,,88869,88869,,,,,kilt hotpotqa,qa/closed-book qa,,encyclopedia; multi-hop QA,,Yang et al. 2018,TRUE
trivia_qa,unfiltered,QA_closed_book,gen,,GPT,GPT_EVAL,,87622,0,exact_match;f1_over_words => wikipedia aliases are considered valid answers,TRUE,https://arxiv.org/pdf/1705.03551.pdf,intensive,Trivia QA,,,,,,TRUE
web_questions,,QA_closed_book,gen,"""supposed to be answerable by Freebase"" Check corpora deduplication with freebaseqa.",GPT,GPT_EVAL,,3778,0,accuracy : they don't mention how they normalize across multiple correct answers,TRUE,https://aclanthology.org/D13-1160.pdf,intensive,web questions,qa/closed-book qa,,,,Berant et al. 2013,TRUE
wiki_qa,,QA_closed_book,cls,,CrossFit,BASE,,20360,20360,,,https://aclanthology.org/D15-1237.pdf,,wiki qa,cls/other,,,,Yang et al. 2015,TRUE
adversarial_qa,dbidaf,QA_extractive,ext,,,BASE,,10000,10000,,,https://aclanthology.org/2020.tacl-1.43/,,adversarialqa,qa/machine reading comprehension,,,,Bartolo et al. 2020,TRUE
adversarial_qa,dbert,QA_extractive,ext,,,BASE,,10000,10000,,,,,,,,,,,TRUE
adversarial_qa,droberta,QA_extractive,ext,,,BASE,,10000,10000,,,,,,,,,,,TRUE
coqa,,QA_extractive,ext,GPT-easy,GPT,,TRUE,7199,,"macro_average_f1: for computing a model’s performance, each individual prediction is compared
against n human answers resulting in n F1 scores,
the maximum of which is chosen as the prediction’s
F1.For each question, we average out F1 across
these n sets, both for humans and models. In our
final evaluation, we use n = 4 human answers for
every question (the original answer and 3 additionally collected answers). The articles a, an and the
and punctuations are excluded in evaluation.",from the paper it seems it could contain multiple answers but the datasets has only one answer per question,https://arxiv.org/pdf/1808.07042.pdf,,,,,,,,
duorc,SelfRC,QA_extractive,ext,,TaskEmbed;CrossFit,BASE,,60721,60721,,,https://duorc.github.io/,,DuoRC,qa/machine reading comprehension,,,Wikipedia/IMDB crowd,Saha et al. 2018,TRUE
duorc,ParaphraseRC,QA_extractive,ext,,TaskEmbed;CrossFit,BASE,,69524,69524,,,https://arxiv.org/pdf/1804.07927.pdf,,DuoRC,paraphrased QA,,,,Saha et al. 2018,TRUE
ropes,,QA_extractive,ext,,,BASE,,10924,10924,,,,modest,ropes,Extractive QA,,cause_and_effect;nontrivial_comprehension,,Lin et al. 2019,TRUE
squad_v2,,QA_extractive,ext,,GPT,GPT_EVAL,,130319,0,exact_match;f1_score,TRUE,https://arxiv.org/pdf/1806.03822.pdf,,SQuAD 2.0,Extractive QA,,,,Rajpurkar et al. 2018,TRUE
super_glue,record,QA_extractive,ext,,,SGLUE,,100730,0,max_token_level_f1;exact_match,TRUE,https://arxiv.org/pdf/1810.12885.pdf,,superglue-record,qa/machine reading comprehension,,knowledge-? reading comprehension,,Zhang et al. 2018,TRUE
qa_srl,,QA_extractive,ext,"need non-naive metric (""If the predicted word is contained inside the annotated answer span it is considered a correct prediction.""); v2 not in HF https://aclanthology.org/P18-1191.pdf",Eval WG,,TRUE,6414,0,accuracy,TRUE,https://dada.cs.washington.edu/qasrl/#page-top,neutral,qa srl,other,,semantic role,,He et al. 2015,
quac,,QA_extractive,ext,,GPT,,TRUE,11567,,"average_maximum_f1;HEQ-Q;HEQ-D:  To make oracle human and system performance comparable,
given n references, we report the average of the
maximum F1 computed from each n − 1 subset
with respect to the heldout reference.",TRUE,https://arxiv.org/pdf/1808.07036.pdf,,,,,dialogue,,,
quoref,,QA_extractive,ext,,,BASE,,19399,19399,,,https://aclanthology.org/D19-1606.pdf,,Quoref,Extractive QA,,,,Dasigi et al. 2019,TRUE
drop,,QA_generative,gen,"nontrivial math; try history_690, it's pretty hard even when I have domain knowledge",GPT,,TRUE,,,exact_match; macro_average_f1,TRUE,https://aclanthology.org/N19-1246.pdf,,DROP ,multi-hop quantitative reasoning; Abstractive QA,,numerical,Wikipedia crowd,Dua et al. 2019,
cos_e,v1.11,QA_multiple_choice,cls,"same as commonsense_qa but with (poorly sourced) human explanations; questionable ""commonsense"" lots of world knowledge",Vania,BASE,,9741,9741,,,,,cos e,other/generate explanation,,,,Rajani et al. 2019,TRUE
cosmos_qa,,QA_multiple_choice,cls,,,BASE,,25262,25262,,,,,cosmos qa,qa/multiple-choice qa,,,,Huang et al. 2019,TRUE
dream,,QA_multiple_choice,cls,,,BASE,,6116,6116,,,,,dream,qa/multiple-choice qa,,,,Sun et al. 2019,TRUE
openbookqa,main,QA_multiple_choice,cls,interesting combo of pragmatics + scientific reasoning,GPT,GPT_EVAL,,4957,0,"accuracy_with_tie : For each question, a system receives 1 point if it
chooses the correct answer and 1/k if it reports a k-way tie
(i.e., chooses multiple answers) that includes the correct answer.",,https://aclanthology.org/D18-1260.pdf,modest,openbookqa,qa/multiple-choice qa,,pragmatics,,Mihaylov et al. 2018,TRUE
qasc,,QA_multiple_choice,cls,,,BASE,,8134,8134,,,,given?,qasc,qa/multiple-choice qa,,,,Khot et al. 2020,TRUE
quail,,QA_multiple_choice,cls,,,BASE,,10246,10246,,,,,quail,qa/multiple-choice qa,,,,Rogers et al. 2020,TRUE
quarel,,QA_multiple_choice,cls,,CrossFit,BASE,,1941,1941,,,,,quarel,qa/multiple-choice qa,,logical form,,Tafjord et al. 2019a,TRUE
quartz,,QA_multiple_choice,cls,,,BASE,,2696,2696,,,https://aclanthology.org/D19-1608.pdf,given?,quartz-with knowledge,qa/multiple-choice qa,,,,Tafjord et al. 2019b,TRUE
race,high,QA_multiple_choice,cls,GPT-hard,GPT,GPT_EVAL,,62445,0,accuracy,,https://arxiv.org/pdf/1704.04683.pdff,neutral,race-high,qa/multiple-choice qa,,knowledge-neutral reading comprehension,,Lai et al. 2017,TRUE
race,middle,QA_multiple_choice,cls,"revisit: define as comprehension, paragraph level?",GPT,GPT_EVAL,,25421,0,accuracy,,https://arxiv.org/pdf/1704.04683.pdf,neutral,race-middle,qa/multiple-choice qa,,knowledge-neutral reading comprehension,,Lai et al. 2017,TRUE
sciq,,QA_multiple_choice,cls,,,BASE,,11679,11679,,,,,sciq,qa/multiple-choice qa,,,,Welbl et al. 2017,TRUE
social_i_qa,,QA_multiple_choice,cls,metric differ by prompt: 4-way classification cast as binary ,,BASE,,33410,33410,accuracy,,https://arxiv.org/pdf/1904.09728.pdf,,SIQA,qa/multiple-choice qa,,cultural knowledge,,Sap et al. 2019,TRUE
super_glue,boolq,QA_multiple_choice,cls,,,SGLUE,,9427,0,accuracy,,https://arxiv.org/pdf/1905.10044.pdf,neutral?,superglue-boolq,,,knowledge-? reading comprehension,,,TRUE
super_glue,copa,QA_multiple_choice,cls,,,SGLUE,TRUE,400,0,accuracy,,http://commonsensereasoning.org/2011/papers/Roemmele.pdf,modest,superglue-copa,qa/multiple-choice qa,,causal cognition,,Gordon et al. 2012,TRUE
super_glue,multirc,QA_multiple_choice,cls,F1 over all answer options. See paper p. 259 for defintion,,SGLUE,,27243,0,f1_over_all_options;exact_match,,https://aclanthology.org/N18-1023.pdf,neutral?,superglue-multirc,qa/multiple-choice qa,,knowledge-? reading comprehension,,Khashabi et al. 2018,TRUE
wiki_hop,original,QA_multiple_choice,cls,,,BASE,,43738,43738,,,https://transacl.org/ojs/index.php/tacl/article/viewFile/1325/299,,WikiHop (Welbl et al. 2018),multi-hop QA,,,Wikipedia KB,,TRUE
wiqa,,QA_multiple_choice,cls,,,BASE,,29808,29808,,,,,wiqa,qa/multiple-choice qa,,cause_and_effect,,Tandon et al. 2019,TRUE
circa,,QA_multiple_choice,cls,revisit: problematic prompts,,,TRUE,34268,0,mean_multiclass_f1;accuracy,,https://arxiv.org/pdf/2010.03450.pdf,,circa,cls/other,,pragmatics,,Louis et al. 2020,
mc_taco,,QA_multiple_choice,cls,no train set; variable number of answer_chocies; eval in paper is over set of possible candidates;,,,TRUE,0,0,exact_match; f1_score,,https://arxiv.org/pdf/1909.03065.pdf,,mc taco,qa/binary,,temporal cognition,,Zhou et al. 2019,
piqa,,QA_multiple_choice,cls,revisit: not just other,GPT,GPT_EVAL,,16113,0,accuracy,,https://arxiv.org/pdf/1911.11641.pdf,,PIQA,Multiple choice,,physical_cognition,,Bisk et al. 2020,TRUE
amazon_polarity,,sentiment,cls,,,BASE,,3600000,500000,,,https://cs.stanford.edu/people/jure/pubs/reviews-recsys13.pdf,,amazon polarity,cls/sentiment analysis,,,,McAuley and Leskovec 2013,TRUE
app_reviews,,sentiment,cls,,,BASE,,288065,288065,,,,,app reviews,other/regression,,,,Missing,TRUE
imdb,,sentiment,cls,,,BASE,,25000,25000,,,,,imdb,cls/sentiment analysis,,no dev set,,Maas et al. 2011,TRUE
rotten_tomatoes,,sentiment,cls,,,BASE,,8530,8530,,,,,rotten tomatoes,cls/sentiment analysis,,,,Pang and Lee 2005,TRUE
yelp_review_full,,sentiment,cls,no dev set,,BASE,,650000,500000,,,,,yelp review full,other/regression,,,,Zhang et al. 2015; (link),TRUE
lambada,,story_completion,gen,revisit: story or cloze or coref? trivial cloze prompt; training set is just unlabeled corpora; GPT task,GPT,,TRUE,0,0,accuracy;perplexity;median_rank,,https://arxiv.org/pdf/1606.06031.pdf,,,,,,,,
craffel/openai_lambada,,story_completion,gen,revisit: story or cloze or coref? trivial cloze prompt; training set is just unlabeled corpora; GPT task,GPT,,TRUE,0,0,accuracy;perplexity;median_rank,,https://arxiv.org/pdf/1606.06031.pdf,,,,,,,,
story_cloze,2016,story_completion,cls,todo: custom loading; swag like?,GPT,,TRUE,,0,accuracy,,https://arxiv.org/pdf/1604.01696.pdf,,,,,,,,TRUE
hellaswag,,story_completion,cls,,GPT,GPT_EVAL,TRUE,39905,0,accuracy,,https://arxiv.org/pdf/1905.07830.pdf,,hellaswag,qa/multiple-choice qa,,,,Zellers et al. 2019,TRUE
common_gen,,structure_to_text,gen,,,BASE,,67389,67389,,,,,common gen,other,,,,Lin et al. 2020b,TRUE
wiki_bio,,structure_to_text,gen,,,BASE,,582659,500000,,,,,wiki bio,cg/other,,,,Lebret et al. 2016,TRUE
cnn_dailymail,3.0.0,summarization,gen,,,BASE,,287113,287113,,,,,,,,,,,TRUE
gigaword,,summarization,gen,,,BASE,,3803957,500000,,,,,gigaword,cg/summarization,,,,Napoles et al. 2012,TRUE
multi_news,,summarization,gen,,CrossFit,BASE,,44972,44972,,,,,multi news,cg/summarization,,,,Fabbri et al. 2019,TRUE
samsum,,summarization,gen,,CrossFit,BASE,,14732,14732,,,,,samsum,cg/summarization,,,,Gliwa et al. 2019,TRUE
xsum,,summarization,gen,,,BASE,,204045,204045,rouge,,https://arxiv.org/pdf/1808.08745.pdf,,xsum,cg/summarization,,,,Narayan et al. 2018,TRUE
ag_news,,topic_classification,cls,,,BASE,,120000,120000,,,http://groups.di.unipi.it/~gulli/AG_corpus_of_news_articles.html,,ag news,cls/topic,,,,Gulli (link),TRUE
dbpedia_14,,topic_classification,cls,,,BASE,,560000,500000,,,https://svn.aksw.org/papers/2013/SWJ_DBpedia/public.pdf,,dbpedia 14,cls/topic,,,,Lehmann et al. 2015,TRUE
trec,,topic_classification,cls,,,BASE,,5452,5452,,,https://trec.nist.gov/data/qa.html,,trec,cls/other,,,,Li and Roth 2002; Hovy et al. 2001,TRUE
super_glue,wic,word_sense_disambiguation,cls,,,SGLUE,TRUE,5428,0,accuracy,,https://arxiv.org/pdf/1808.09121.pdf,,superglue-wic,cls/other,,lexical_knowledge,,Pilehvar and Camacho-Collados 2019,TRUE
Staging Area,,,,,,,,,,,,,,,,,,,,
Would Include but not in HF or some other practical limitations,,,,,,,,,,,,,,,,,,,,
definite_pronoun_resolution,,coreference,,todo: download error,,,,,,,,,,deﬁnite pronoun resolution,other,,,,Rahman and Ng 2012,
jeopardy,,closed-book qa,gen,sporadic download error,CrossFit,,,,,,,,,jeopardy,qa/closed-book qa,,,,(link),
blimp,,,cls,no prompts yet; collapse subsets,,,,,0,,,,,,,,,,,
Hendrycks et al. 2021,,,,https://arxiv.org/abs/2009.03300v3,,,,,,,,,,,,,,,,
Multi-Turn Dialogue Reasoning,,,,https://aclanthology.org/2020.acl-main.130.pdf,Vania,,,7088,,,,,,,,,,,,
Argument Reasoning Comprehension Task,,,,https://aclanthology.org/N18-1175.pdf,Vania,,,1211,,,,,,,,,,,,
MCScript,,,,https://aclanthology.org/L18-1564.pdf,Vania,,,14191,,,,,,,,,,,,
narrativeqa,,,,very long input sequence,,,,,,,,,,NarQA,Abstractive QA,,,,,
newsqa,,,,download error,TaskEmbed,,,,,,,,,NewsQA,Extractive QA,,,,Trischler et al. 2017,
eli5,,,,dataset split error,CrossFit,,,,,,,https://facebookresearch.github.io/ELI5/explore.html,,eli5-askh,qa/long-form qa,,possibly knowledge-neutral,,Fan et al. 2019,
Maybe Reconsider,,,,,,,,,,,,,,,,,,,,
zest,,,,its original task is quite complex (need to provide a decision function); should be held-out eval only,self,,,,,,,,,,,,,,,
swag,,story_completion,cls,revisit whether this should be considered as a variant of NLI,,,,73546,0,,,,,swag,qa/multiple-choice qa,,,,Zellers et al. 2018,
codah,codah,story_completion,cls,a variant of swag revisit whether this should be considered as a variant of NLI,,,,2776,0,,,,,codah,qa/multiple-choice qa,,,,Chen et al. 2019,
wiki_auto,,,,revisit: lots of duplicate simplified text; novel generative task could be very challenging,CrossFit,,,,,,,,,wiki auto,cls/other,,text simplification,,Jiang et al. 2020,
proto_qa,,,gen,"generate prototypical concepts, kinda niche format with multiple correct answers",CrossFit,,,,,,,,,proto qa,other,,,,Boratko et al. 2020,
empathetic_dialogues,,,,generation? classification?,CrossFit,,,,,,,https://arxiv.org/pdf/1811.00207.pdf,,empathetic dialogues,cg/dialogue,,,,Rashkin et al. 2019,
qed,,,,uses held-out Natural Questions,,,,,,,,,,,,,,,,
kilt_tasks,aidayago2,,,,,,,,,,,,,kilt ay2,other/entity linking,,encyclopedia,,Hoffart et al. 2011,
kilt_tasks,wow,,,,,,,,,,,,,kilt wow,cg/dialogue,,encyclopedia,,Dinan et al. 2019,
lama,conceptnet,,,,,,,,,,,,,lama-conceptnet,qa/closed-book qa,,encyclopedia,,Petroni et al. 2019 2020,
lama,google_re,,,,,,,,,,,,,lama-google re,qa/closed-book qa,,encyclopedia,,Petroni et al. 2019 2020,
lama,squad,,,,,,,,,,,,,lama-squad,qa/closed-book qa,,encyclopedia,,Petroni et al. 2019 2020,
lama,trex,,,,,,,,,,,,,lama-trex,qa/closed-book qa,,encyclopedia,,Petroni et al. 2019 2020,
limit,,physical cognition,,,,,,,,,,https://aclanthology.org/2020.findings-emnlp.88.pdf,,limit,other,,physical semantic repr.,,Manotas et al. 2020,
kilt_tasks,fever,,,revisit whether this should be considered as a variant of NLI,,,,,,,,,,kilt fever,cls/fact checking,,encyclopedia,,Thorne et al. 2018,
Skipped,,,,,,,,,,,,,,,,,,,,
fever,v2.0,closed-book qa/fact checking,,also in KILT,,,,,,,,,,FEVER,,,,,,
hotpot_qa,distractor,,,also in KILT,,,,,,,,,,Hotpot QA,,,,,,
hotpot_qa,fullwiki,,,also in KILT,,,,,,,,,,Hotpot QA,,,,,,
emo,,sentiment,cls,skip: offensive and ungrammatical text,,,,30160,0,precision;recall;F1,,https://aclanthology.org/S19-2005.pdf,,emo,cls/emotion,,,,Chatterjee et al. 2019,
freebase_qa,,QA_closed_book,gen,"need to be held out because web_questions is ""supposed to be answerable by Freebase""",,,,20358,0,,,,intensive,freebase qa,qa/closed-book qa,,,,Jiang et al. 2019,
aqua_rat,,,,,,,,,,,,https://arxiv.org/abs/1705.04146,,aqua rat,qa/multiple-choice qa,,nontrivial math,,Ling et al. 2017,
math_qa,,,,,,,,,,,,,,math qa,qa/multiple-choice qa,,nontrivial math,,Amini et al. 2019,
numer_sense,,,,,,,,,,,,,,numer sense,qa/closed-book qa,,numerical knowledge,,Lin et al. 2020a,
squad_adversarial,,,,,,,,,,,,,,,,,,,,
squadshifts,,,,,,,,,,,,,,,,,,,,
sms_spam,,,,,,,,,,,,,,sms spam,cls/other,,,,Almeida et al. 2011,
search_qa,,,,,,,,,,,,,,search qa,qa/closed-book qa,,,,Dunn et al. 2017,
kilt_tasks,trex,,,,,,,,,,,,,kilt trex,qa/closed-book qa,,encyclopedia,,Elsahar et al. 2018,
kilt_tasks,structured_zeroshot,,,,,,,,,,,,,kilt zsre,qa/closed-book qa,,encyclopedia,,Levy et al. 2017,
spider,,,,,,,,,,,,,,spider,cg/other,,,,Yu et al. 2018,
wikisql,,,,,,,,,,,,,,wikisql,cg/other,,,,Zhong et al. 2017,
com_qa,,,,,CrossFit,,,,,,,https://arxiv.org/pdf/1809.09528.pdf,,ComQA (Abujabal et al. 2019),factoid QA w/ paraphrases,,,snippets WikiAnswers,,
climate_fever,,,,revisit whether this should be considered as a variant of NLI,,,,,,,,,,climate fever,cls/fact checking,,,,Diggelmann et al. 2020,
art,,,,,,,,,,,,https://arxiv.org/pdf/1908.05739.pdf,,art (abductive nli),other,,,,Bhagavatula et al. 2020,
glue,mnli,classification_NLI,,,,,,,,,,,,glue-mnli,cls/nli,,,,Williams et al. 2018,
glue,qnli,classification_NLI,,,,,,,,,,,,glue-qnli,cls/nli,,,,Rajpurkar et al. 2016,
glue,wnli,classification_NLI,,,,,,,,,,,,glue-wnli,cls/nli,,,,Levesque et al. 2012,
,,classification_NLI,,,,,,,,,,,,scitail,cls/nli,,,,Khot et al. 2018,
,,classification_NLI,,,,,,,,,,,,sick,cls/nli,,,,Marelli et al. 2014,
,,classification_NLI,,,,,,,,,,,,SNLI (Bowman et al. 2015),NLI,,,misc.,,
aeslc,,,,summarization by email subject line,,,,,,,,https://arxiv.org/abs/1906.03497,,aeslc,cg/summarization,,generation,,Zhang and Tetreault 2019,
onestop_english,,,,,,,,,,,,https://aclanthology.org/W18-0535.pdf,,onestop english,cls/other,,,,Vajjala and Luˇci´c 2018,
mocha,,,,,,,,,,,,,,mocha,other/regression,,,,Chen et al. 2020a,
commonsense_qa,,,,duplicate with cos_e,Vania,,,9741,,,,https://arxiv.org/pdf/1811.00937.pdf,,Commonsense QA,qa/multiple-choice qa,,,,Talmor et al. 2019,
,,,,,,,,,,,,,,emotion,cls/emotion,,,,Saravia et al. 2018,
,,,,the authors themselves seem to have renounced their own work,,,,,,,,https://github.com/nyu-mll/crows-pairs,,crows pairs,other,,,,Nangia et al. 2020,
,,,,,,,,,,,,,,ethos-directed vs generalized,cls/hate speech detection,,,,Mollas et al. 2020,
,,,,,,,,,,,,,,ethos-disability,cls/hate speech detection,,,,Mollas et al. 2020,
,,,,,,,,,,,,,,ethos-gender,cls/hate speech detection,,,,Mollas et al. 2020,
,,,,,,,,,,,,,,ethos-national origin,cls/hate speech detection,,,,Mollas et al. 2020,
,,,,,,,,,,,,,,ethos-race,cls/hate speech detection,,,,Mollas et al. 2020,
,,,,,,,,,,,,,,ethos-religion,cls/hate speech detection,,,,Mollas et al. 2020,
,,,,,,,,,,,,,,ethos-sexual orientation,cls/hate speech detection,,,,Mollas et al. 2020,
,,,,,,,,,,,,,,hate speech offensive,cls/hate speech detection,,,,Davidson et al. 2017,
,,,,,,,,,,,,,,hate speech18,cls/hate speech detection,,,,de Gibert et al. 2018,
,,,,,,,,,,,,,,hatexplain,cls/hate speech detection,,,,Mathew et al. 2020,
,,,,,,,,,,,,,,reddit tifu-title,cg/summarization,,,,Kim et al. 2019,
,,,,,,,,,,,,,,reddit tifu-tldr,cg/summarization,,,,Kim et al. 2019,
,,,,,,,,,,,,,,tweet eval-emoji,cls/emotion,,,,Barbieri et al. 2020,
,,,,,,,,,,,,,,tweet eval-emotion,cls/emotion,,,,Barbieri et al. 2020,
,,,,,,,,,,,,,,tweet eval-hate,cls/emotion,,,,Barbieri et al. 2020,
,,,,,,,,,,,,,,tweet eval-irony,cls/emotion,,,,Barbieri et al. 2020,
,,,,,,,,,,,,,,tweet eval-offensive,cls/emotion,,,,Barbieri et al. 2020,
,,,,,,,,,,,,,,tweet eval-sentiment,cls/emotion,,,,Barbieri et al. 2020,
,,,,,,,,,,,,,,tweet eval-stance abortion,cls/emotion,,,,Barbieri et al. 2020,
,,,,,,,,,,,,,,tweet eval-stance atheism,cls/emotion,,,,Barbieri et al. 2020,
,,,,,,,,,,,,,,tweet eval-stance climate,cls/emotion,,,,Barbieri et al. 2020,
,,,,,,,,,,,,,,tweet eval-stance feminist,cls/emotion,,,,Barbieri et al. 2020,
,,,,,,,,,,,,,,tweet eval-stance hillary,cls/emotion,,,,Barbieri et al. 2020,
,,,,,,,,,,,,,,tweet qa,qa/machine reading comprehension,,,,Xiong et al. 2019,
yelp_polarity,,,,,,,,,,,,,,yelp polarity,cls/sentiment analysis,,,,Zhang et al. 2015; (link),
quora,,,,,,,,,,,,https://quoradata.quora.com/First-Quora-Dataset-Release-Question-Pairs,,QQP,paraphrase identiﬁcation,,,social QA,Iyer et al. 2017,
squad,,,,,,,,,,,,,,SQuAD 1.1,Extractive QA,,,,,
yahoo_answers_topics,,,,,,,,,,,,,,yahoo answers topics,cls/topic,,,,(link),
tab_fact,,,,,,,,,,,,,,tab fact,cls/fact checking,,,,Chen et al. 2020b,
,,,,,,,,,,,,,,blimp-anaphor gender agreement,other/linguistic phenomenon,,syntax,,Warstadt et al. 2020,
,,,,,,,,,,,,,,blimp-anaphor number agreement,other/linguistic phenomenon,,syntax,,Warstadt et al. 2020,
,,,,,,,,,,,,,,blimp-determiner noun agreement with adj irregular 1,other/linguistic phenomenon,,syntax,,Warstadt et al. 2020,
,,,,,,,,,,,,,,blimp-ellipsis n bar 1,other/linguistic phenomenon,,syntax,,Warstadt et al. 2020,
,,,,,,,,,,,,,,blimp-ellipsis n bar 2,other/linguistic phenomenon,,syntax,,Warstadt et al. 2020,
,,,,,,,,,,,,,,blimp-existential there quantiﬁers 1,other/linguistic phenomenon,,syntax,,Warstadt et al. 2020,
,,,,,,,,,,,,,,blimp-irregular past participle adjectives,other/linguistic phenomenon,,syntax,,Warstadt et al. 2020,
,,,,,,,,,,,,,,blimp-sentential negation npi licensor present,other/linguistic phenomenon,,syntax,,Warstadt et al. 2020,
,,,,,,,,,,,,,,blimp-sentential negation npi scope,other/linguistic phenomenon,,syntax,,Warstadt et al. 2020,
,,,,,,,,,,,,,,blimp-wh questions object gap,other/linguistic phenomenon,,syntax,,Warstadt et al. 2020,
poem_sentiment,,,,,,,,,,,,,,poem sentiment,cls/sentiment analysis,,creativity,,Sheng and Uthus 2020,
acronym_identification,,,,,,,,,,,,https://arxiv.org/pdf/2010.14678.pdf,,acronym identiﬁcation,other,,,,Pouran Ben Veyseh et al. 2020,
